0,1,2,3,4,5,6,7,8,9,10,11
5.4427648,0.21713501,4.829543,1.5145804,4.0033374,5.6571455,1.6886253,1.9729066,4.945327,4.43584,2.519032,9.909148
5.280345,1.4776857,5.5120234,2.499232,4.572901,6.823599,-0.0,2.8569238,4.7076373,3.6891108,0.96756124,3.8942347
4.6394787,0.1566013,1.885135,1.4885347,1.6676506,5.4783497,2.8775754,5.8101377,9.321558,3.894925,2.335008,5.7200885
5.979279,0.13996929,7.0814276,1.4009552,2.7989287,2.2019122,5.835852,1.6134945,4.688532,3.4766908,1.4225676,2.8559763
7.2628393,0.96610147,1.5538487,0.86406845,3.0437613,0.9325825,7.403362,2.4463603,4.8223224,5.5597405,2.2322092,7.4684505
3.5999293,0.32832974,1.2930793,2.0915573,1.5184898,4.4808474,2.3014402,4.4898896,6.9594007,3.6966548,0.9267739,2.316173
3.1581924,0.7343807,1.730095,2.1249716,2.513546,5.092083,3.6744301,2.814972,5.395222,1.6122963,-0.0,5.7593937
4.057768,0.13824597,3.3418703,1.465192,2.801165,0.42355663,4.107977,0.87847686,4.0528092,3.5848196,1.070303,9.063107
4.9121094,0.7005709,5.2124186,1.4488938,4.9604144,6.847095,5.459452,3.9966369,4.362331,4.7070518,1.3094164,5.650841
5.4759464,0.4313442,3.1459458,1.4511514,2.154776,1.9737303,5.400862,2.9323149,7.145673,0.7742549,2.5261843,7.3592105
6.4862037,0.62564325,2.6348765,1.1604306,3.6067724,5.457919,5.2392464,3.8727279,8.183217,7.926645,2.5296743,4.312651
2.7718718,0.144236,4.4304442,1.1222556,2.2259011,5.9063697,1.1138945,2.0818763,4.7279215,6.834403,1.8078806,8.665153
4.5171957,0.04703089,6.0233316,1.2216623,0.9547441,1.683332,3.1106987,2.2106724,6.752313,4.505052,1.910478,8.26863
4.7797117,0.8230338,2.8837497,2.8380203,3.029223,5.4198804,4.8203115,1.2064766,5.9411697,5.5982933,0.24307938,5.764301
4.9963627,0.5151546,3.347141,0.74073476,2.5231414,2.0008316,4.4752297,2.2542734,5.3544583,1.723911,2.9328933,7.964118
2.3924344,0.53449756,1.5923924,1.3916155,2.63198,4.7878885,5.292989,1.180679,4.696239,2.6891382,1.0211287,8.399639
8.309221,1.0162771,2.4971514,1.3078957,4.180794,1.3002055,6.79628,2.55378,5.2552853,3.587604,1.5020571,3.1146767
4.027664,0.8847225,4.0939636,1.7497299,3.1150398,5.2102695,6.3995214,3.5341597,5.4176006,7.603133,1.5726072,7.1243014
4.715781,0.52501136,7.02943,1.3206054,1.201714,2.1926153,5.10943,1.4593349,5.9078784,4.397627,1.8166277,4.4238386
4.386657,0.10625132,4.0319276,0.8962238,1.9390008,3.1520278,3.3559375,2.0306523,4.9597044,1.2887301,2.0772662,8.077062
3.5838497,0.5070934,5.7881365,1.0325409,1.8190137,2.8483157,4.463915,1.0125166,4.75738,4.8587074,2.4888182,5.823476
7.2841425,0.34615487,5.544853,1.4298329,4.196275,5.128677,4.1666493,3.8136842,7.707435,4.7253428,2.9345334,10.206994
5.323407,-0.0,4.3474135,1.1531174,3.1506867,3.8194196,3.911975,3.105423,7.53637,6.1594396,1.2458838,10.045223
1.6637374,0.96221757,0.37807155,1.9548817,2.8362055,6.487096,3.9190576,1.4843102,6.7594247,2.0311236,0.6430619,6.645907
5.331709,0.55233705,2.2205634,1.5252482,2.5288925,4.825677,2.4349995,5.732988,7.04692,3.8557115,1.1774206,4.4099197
7.5533633,0.39439958,5.8598666,1.3039639,1.949437,4.52674,4.265784,1.8111229,4.3920064,5.086534,2.556194,3.0324821
3.2321966,0.45299083,1.7889448,2.150952,3.7144647,6.236712,4.1499567,2.5765831,6.346613,2.6911032,0.57123625,10.068952
6.86579,0.8210099,2.1204255,0.8854379,2.7186985,1.0772116,5.549371,2.1208036,2.6884098,4.3531694,2.2431393,6.7602506
4.671686,0.56025046,2.5258615,0.81498533,1.7664886,5.3457417,6.005004,3.2794094,6.7315125,8.067579,2.9519143,5.6935573
5.3134627,0.8492649,6.178534,1.4067761,3.359923,4.24418,1.8796773,0.8136287,6.486163,4.526528,2.6080751,4.368722
3.0803583,1.2130522,2.9423113,2.044835,4.47747,5.327812,4.6607957,3.2800963,5.249736,3.8499696,0.045793056,3.3759305
3.8596284,0.5227112,1.3285438,1.3815097,3.0100698,3.9519668,2.5509496,3.4954226,6.411871,7.7759323,1.8722801,3.5796068
4.230882,-0.0,5.1277313,0.9537733,4.8008265,4.656878,2.089613,4.085492,5.4160304,5.2238855,0.966298,7.418838
5.215192,0.3063855,3.2298405,1.3952549,2.2038116,2.5914552,5.016965,2.2466998,4.8679643,7.6116586,0.58938366,7.078254
3.3364067,0.4733441,4.24935,1.4016069,0.8977983,7.3527145,3.563093,2.6145256,3.7968752,8.460905,2.1644642,7.6067176
7.2689824,0.8910297,4.5146594,1.9054308,2.256154,4.8053775,7.944246,3.3810441,5.955279,5.9883337,2.013856,6.8714895
3.9145153,0.35835427,3.3337874,2.196956,2.5242982,5.50158,3.8045206,1.7913901,6.919795,5.614703,0.9807024,6.473711
6.062592,0.7617311,3.3765044,1.6307095,3.999238,-0.0,6.783632,1.3051295,6.0826097,4.490647,1.7729411,7.470364
6.172877,0.20177794,5.959383,0.8688686,3.1008677,2.6889257,4.2456183,2.334021,6.1709146,6.3133,2.1317296,9.948251
4.965522,0.24263142,0.33926374,1.9246097,2.332605,2.9201865,2.376842,3.4964695,7.981325,2.5963,0.95259523,4.3697214
3.9526186,0.012210466,6.1521006,1.3514264,1.695736,1.8111238,5.0313015,1.7719105,6.7002344,3.3297,1.99682,5.082445
4.479085,0.29178616,0.63678885,0.22921635,2.3172612,2.0531182,5.0733457,2.6444466,6.232063,6.879906,1.920864,6.4053593
4.9230523,0.4637612,1.2088419,2.5528767,2.44667,5.5742774,1.7443802,4.0008526,8.030007,3.2492216,1.1897956,4.8118844
4.1498384,0.34570962,1.4678015,2.0436194,1.1490474,5.8294415,3.0690548,5.4158497,9.044151,5.026988,1.0977696,4.2860036
3.603194,0.5235313,3.5519974,2.4494643,2.9847426,5.873868,4.4471807,2.2753334,7.500421,6.575669,0.3473858,5.8872514
4.985721,0.8240249,6.994222,1.5128398,2.1799884,3.8283935,3.6684537,0.66719496,6.2112274,4.703305,2.2611885,4.40477
3.2126493,0.446759,3.568061,0.7200532,0.119545236,6.241013,4.555138,3.6920915,3.9384513,8.252996,2.662184,7.9159646
5.3577456,1.0617265,7.296137,2.170275,2.1678314,3.951558,4.410356,1.7773324,6.5634522,4.3376617,1.7925912,4.589231
4.4759793,-0.0,2.9329443,0.7497636,2.7498655,1.5797849,2.9740524,2.4976537,4.96138,2.5447865,1.7034254,9.966273
2.547319,0.45213675,2.3651085,1.3537583,1.221406,4.7064495,5.2374444,1.7632383,6.438026,7.154527,1.3827544,4.86655
3.1447852,0.08785853,1.9086956,1.0830863,3.2583795,0.37560692,3.305635,2.3715973,6.4368744,0.5282277,1.7447275,8.0965
6.0476937,0.4612925,5.228873,1.4634988,3.2333698,3.7907798,5.6057067,4.4603105,4.8367743,9.031625,1.3421661,6.6816382
