0,1,2,3,4,5,6,7,8,9,10
2.3674898,1.7715417,3.105148,1.8021626,-0.0,3.0067022,2.174164,4.118593,0.41009718,3.2331746,3.4575992
4.0112643,0.2814798,1.7637082,2.7609577,0.7130515,3.2834942,2.3593059,2.907134,1.6795483,2.9773176,1.3031998
2.040141,-0.0,1.7335714,4.9721117,0.72987217,1.3004978,2.5361507,1.9259433,0.96832734,0.23530704,3.269438
-0.0,1.9437119,0.67704064,1.251506,1.5863024,1.9408406,2.622137,4.2556515,0.867441,0.59639174,3.1308103
1.4100034,0.15068625,1.7081792,0.04160562,0.12515281,1.5019374,3.224115,1.0652261,2.1546316,2.9520013,5.01096
2.3622344,1.7668062,3.1349337,1.8138484,-0.0,2.9952672,2.1642535,4.069579,0.4029701,3.2488425,3.4738417
1.5764662,1.8453118,1.0500135,1.5528587,2.1880858,-0.0,2.2678392,2.3030934,0.85257125,2.9038978,2.5435114
0.9354911,0.3184683,0.82773596,2.7535517,0.9043358,0.16922243,2.7931,3.517019,2.2818427,4.585541,0.8600034
1.0037531,0.27614963,0.8742576,2.790555,1.0076699,0.16554208,2.7691092,3.4974446,2.276035,4.6185837,0.84179777
2.0030198,0.010154232,1.7899556,4.98807,0.7712018,1.3213806,2.5500238,1.9547561,0.9139794,0.11840604,3.351514
1.9758439,2.3543382,0.12029789,3.279689,1.376753,2.920786,2.4246016,3.311437,1.0223358,2.6110508,2.7046356
4.0106816,0.28750515,1.7683609,2.744484,0.7227776,3.2783582,2.3523533,2.925797,1.6772296,2.9734108,1.2939395
0.6664051,0.01370341,1.74233,2.994761,0.77867347,0.9431319,2.1912048,3.9643202,0.027123656,1.0543395,4.6826363
1.9921207,-0.0,1.7641759,4.9774837,0.7523356,1.3279079,2.5410573,1.9580185,0.95708615,0.14263181,3.320909
1.9704884,0.01860344,1.7766117,4.9798894,0.7530196,1.3320665,2.568538,1.9366541,0.97458154,0.11113493,3.3232524
0.82175153,1.8968982,3.6196067,1.9953934,1.5353596,1.5454147,3.0930946,2.195559,4.2791157,1.3674532,1.7218654
1.5682281,1.8562846,1.0095223,1.5293293,2.1892085,-0.0,2.2605639,2.3131511,0.823416,2.9234858,2.5285332
1.9518133,2.3217473,0.052349113,3.2567863,1.346019,2.9188364,2.4698186,3.3143153,0.9349159,2.6220877,2.6666675
1.7697247,-0.0,2.4382558,1.9737605,2.6618333,2.3509064,2.654382,1.9857081,0.29307252,2.0933414,3.5422049
1.5603256,1.8821347,1.0504827,1.5441314,2.1460092,0.017266847,2.268255,2.3523328,0.8485957,2.9365501,2.5275373
0.9190729,0.3088431,0.86579835,2.785253,0.9319939,0.21203049,2.814765,3.4838612,2.2218275,4.5495844,0.828198
0.4725183,-0.0,2.8616018,2.6734977,1.3528981,1.1924977,1.5532008,4.300967,3.1578586,3.264705,2.6261454
1.3868755,0.14028685,1.676932,0.00889343,0.115266986,1.5069828,3.2428048,1.0280828,2.1525903,2.9857352,5.0331097
2.3555377,1.7572951,3.1060443,1.7814066,0.011399042,2.982756,2.1963694,4.0319424,0.42492107,3.2352777,3.4829793
2.3697839,1.7687752,3.1157725,1.8027025,0.0017673876,2.9970748,2.171493,4.119282,0.4043357,3.237265,3.4484146
0.7812906,1.9203595,3.621928,2.0504081,1.4974179,1.5530444,3.0752592,2.3051922,4.2825394,1.3777502,1.7353477
0.93152857,0.3116312,0.82290775,2.7819462,0.9253995,0.19594283,2.8101027,3.5123525,2.215139,4.5954986,0.80670667
0.9175218,0.35576558,0.85959595,2.6969352,0.9714992,0.23337245,2.7960386,3.4805887,2.1879623,4.592687,0.7930546
1.7648551,-0.0,2.424871,1.9656101,2.6605554,2.3491442,2.6398458,1.9988415,0.2933098,2.0738802,3.5383322
1.209949,1.1100938,4.5809407,2.9445174,0.3215847,1.8793583,1.377225,2.8595753,-0.0,3.007204,1.5405248
1.1138663,0.037214506,2.9295502,2.4563127,1.8024247,3.270334,3.8057013,4.613966,0.49226207,2.2657158,0.17567244
0.006536767,0.3982629,1.278019,4.1699514,1.0231365,3.412789,1.6738703,0.24402441,0.22675854,3.4502127,3.1870306
0.0075953454,0.39725623,1.2731062,4.1664753,1.0212547,3.4105194,1.6762977,0.24190511,0.22476321,3.4547899,3.1910934
1.9953471,-0.0,1.7624316,4.9797177,0.75422627,1.336063,2.5403419,1.9540433,0.9605968,0.1368437,3.3119946
1.7741615,-0.0,2.4087884,1.9520367,2.658629,2.3302584,2.6331291,1.9853503,0.30840257,2.0821226,3.534831
2.0262017,0.00016513094,1.762499,4.9945607,0.7627268,1.3401649,2.5435703,1.9459212,0.9550538,0.15729296,3.3136826
2.2912753,0.008214317,2.184971,2.4638786,3.199283,3.211135,1.0585501,4.1542597,1.7945716,2.728255,2.9815454
1.9971036,-0.0,1.7746855,4.960272,0.7481174,1.3276075,2.5420575,1.9384414,0.96123916,0.12672484,3.3170767
1.2191548,1.0862769,4.56373,2.9149015,0.2877856,1.8813455,1.4084818,2.8353484,-0.0,2.9831069,1.5522339
1.1326907,0.008132741,2.9324882,2.4947538,1.8238006,3.2927897,3.7836418,4.5882783,0.46336353,2.2619705,0.1699931
0.47504494,-0.0,2.8735592,2.660678,1.3653734,1.2022468,1.5464672,4.3046117,3.150634,3.2594848,2.6468723
2.36892,1.7686659,3.1161926,1.8017561,0.0032737525,2.9993443,2.1745226,4.1073027,0.40384907,3.2328534,3.4418788
2.0046663,2.3496578,0.123970225,3.2672336,1.3529806,2.9273925,2.4314733,3.3203182,1.0132414,2.6333635,2.715058
0.946122,0.33503002,0.85137534,2.7732794,0.93701345,0.19983193,2.8025079,3.5030653,2.2389889,4.565719,0.83156127
2.2992604,0.0357903,2.1614866,2.4387774,3.1892204,3.2000916,1.0560297,4.1814327,1.7910701,2.7382476,3.015223
2.3004818,0.03985343,2.1615276,2.439739,3.1831539,3.2016726,1.0552744,4.186501,1.7935407,2.7441657,3.0082448
-0.0,1.9363762,0.65659136,1.2578481,1.5938584,1.9388885,2.613581,4.248788,0.8641477,0.5811942,3.1003277
1.9794453,2.348611,0.11882902,3.2762778,1.3758808,2.9309924,2.4272785,3.3114893,1.0242138,2.6149821,2.7067802
-0.0,1.9455847,0.6820126,1.2475325,1.5888802,1.9466573,2.6269655,4.258028,0.85235137,0.6003663,3.1339433
1.5587527,1.8506979,1.0206017,1.5399227,2.1831212,-0.0,2.2695506,2.3136764,0.8336272,2.920018,2.5427895
2.297911,0.031739525,2.1545703,2.4462485,3.1924872,3.2091372,1.0677829,4.1914344,1.791873,2.7341776,3.0077276
0.82134086,1.8993893,3.626497,1.9860803,1.4961154,1.5576291,3.1057615,2.213159,4.309836,1.397616,1.7100624
0.0016567633,0.40571126,1.2625406,4.1699276,1.0092314,3.4246926,1.6765442,0.22357841,0.21526608,3.4745421,3.1896603
1.9840505,2.3685658,0.10052709,3.2387168,1.3780081,2.9421957,2.4201872,3.2992494,1.0021949,2.6277754,2.7481432
1.9642369,2.3591926,0.07001641,3.2122536,1.4155158,2.8802464,2.3970242,3.3488324,0.99190784,2.6543307,2.683007
1.9685378,2.3390813,0.12061682,3.2337115,1.3998262,2.8749146,2.3984652,3.3592443,1.001622,2.6310852,2.7005432
1.9730726,-0.0,1.7548728,4.967796,0.75600207,1.3242096,2.5374813,1.9273571,0.97288036,0.1594301,3.3303196
1.9916834,-0.0,1.7677095,4.972307,0.7443272,1.3427471,2.5393317,1.959131,0.95263314,0.14101714,3.3058088
1.9768469,2.351082,0.1267367,3.2595234,1.3522328,2.9198503,2.4220295,3.2993193,1.001508,2.5817268,2.736533
1.1885399,1.0941354,4.5559187,2.9228427,0.28852132,1.888086,1.3809758,2.830829,-0.0,2.9993322,1.5363052
1.9873756,-0.0,1.7706616,4.9765887,0.75662816,1.3401043,2.5417016,1.936586,0.95919883,0.12967892,3.3079329
1.4210196,0.13872476,1.657822,0.015767127,0.14482474,1.5326138,3.244312,1.0466204,2.1767058,2.9883885,5.036143
1.767148,-0.0,2.42738,1.9670389,2.6542447,2.3519962,2.6466777,1.9936622,0.29640764,2.0669682,3.528225
1.9908419,-0.0,1.7690223,4.9832587,0.74793077,1.319622,2.5313506,1.9640285,0.95369685,0.14737979,3.3147666
1.445738,0.14830638,1.6485136,-0.0,0.13533226,1.5366547,3.2206626,1.0115118,2.126154,2.9894586,5.0559645
3.9830124,0.3148315,1.7524427,2.707889,0.72577614,3.3080516,2.402446,2.9246488,1.7199458,2.9699664,1.3014754
1.9930147,-0.0,1.7891102,4.9326763,0.8026195,1.3591132,2.566993,1.9310106,0.9963831,0.09368481,3.3050897
0.82608956,1.9071323,3.6267622,1.9889816,1.5310366,1.553212,3.0908706,2.1862411,4.285592,1.3699441,1.721023
-0.0,0.39184436,1.278718,4.197433,1.0058941,3.4100766,1.6641871,0.2403852,0.20976654,3.4524443,3.1737819
1.7731652,-0.0,2.4134595,1.9548115,2.6585739,2.3398077,2.6444724,1.9979218,0.30531844,2.0754402,3.5399842
0.6435893,0.058937203,1.7612836,2.945587,0.8318587,0.9185612,2.2077234,3.9283454,0.038738355,1.0925442,4.64571
3.9424775,0.317572,1.8224435,2.7418458,0.6627634,3.3133225,2.3386374,2.922781,1.7382836,3.0312328,1.2967839
0.63953316,0.059072133,1.7662506,3.003776,0.83714044,0.9204517,2.197661,3.9060678,-0.0,1.0851564,4.6952863
1.7979116,-0.0,2.4480124,1.9997267,2.6742322,2.3392541,2.6380885,1.96281,0.32221282,2.0671928,3.4276168
1.972285,2.3518074,0.118705936,3.279432,1.3737814,2.9212556,2.423546,3.3151922,1.0264062,2.614889,2.7161899
2.3618572,1.783591,3.1043987,1.7885382,0.0019705053,2.9912083,2.1762865,4.1099353,0.40221724,3.2354107,3.4438033
1.1254396,0.02691241,2.885334,2.4329963,1.8212558,3.2748961,3.8112662,4.6178784,0.46386355,2.2459965,0.16986549
1.9623948,2.374804,0.12608483,3.2640667,1.3704286,2.920229,2.4168286,3.2932065,1.0276916,2.6004128,2.713698
0.81378776,1.8930074,3.63276,1.9747113,1.5479672,1.5390886,3.0845404,2.1804557,4.298189,1.3580699,1.709451
0.9516649,0.3200548,0.8592709,2.7707698,0.9435822,0.18248022,2.7925823,3.5078351,2.2548585,4.563643,0.831979
1.9685483,0.02271831,1.7736207,4.915413,0.74397355,1.3279202,2.5363295,1.9525758,0.9147113,0.1299074,3.3457665
0.9526292,0.33955777,0.8173156,2.7654839,0.9661579,0.19771591,2.80596,3.4575357,2.344098,4.546604,0.8103656
2.370897,1.7666321,3.1152904,1.7887286,0.0061936798,3.0005143,2.1742108,4.121819,0.41007027,3.2420037,3.4471073
