0,1,2,3,4,5,6,7,8,9,10,11
-0.0,3.2676609,-0.0,1.6590511,-0.0,1.4206268,0.87719125,1.9147439,1.7343566,-0.0,-0.0,1.8792344
-0.0,-0.0,-0.0,3.0782292,-0.0,0.6482506,1.4492046,3.801242,1.8474869,-0.0,-0.0,0.69943374
-0.0,-0.0,-0.0,0.16242154,-0.0,2.0756583,1.7095523,3.0657816,2.4614632,-0.0,-0.0,1.426339
-0.0,0.18997654,-0.0,0.68350756,-0.0,1.8405495,2.4559145,1.065598,0.56331867,-0.0,0.45120504,3.9304843
0.014067709,2.0624769,-0.0,1.2000672,-0.0,3.0619009,2.5702915,1.4690347,0.5629915,-0.0,-0.0,0.12767947
-0.0,3.2633545,-0.0,1.6482466,-0.0,1.449248,0.8653285,1.9213736,1.726827,-0.0,-0.0,1.853868
1.2064836,0.24089308,-0.0,0.7522995,-0.0,1.3598042,2.4939733,1.6223059,-0.0,-0.0,-0.0,2.281897
3.5189507,-0.0,-0.0,1.5703306,-0.0,0.83693117,2.2278845,1.5135055,1.5592484,-0.0,-0.0,1.5643133
3.5184765,-0.0,-0.0,1.5949615,-0.0,0.82259905,2.1894686,1.5479593,1.5103574,-0.0,-0.0,1.6035573
-0.0,-0.0,-0.0,0.12478073,-0.0,2.1185956,1.7464886,3.0820022,2.4829555,-0.0,-0.0,1.4771861
-0.0,0.119000554,0.20331348,1.3217882,-0.0,0.036882766,2.7350435,2.4868286,0.548175,-0.0,-0.0,3.1600194
-0.0,-0.0,-0.0,3.0856128,-0.0,0.6565706,1.4347754,3.7869654,1.8438203,-0.0,-0.0,0.7103856
-0.0,0.63092005,-0.0,0.18708827,-0.0,3.072096,1.7505879,2.6634257,1.149465,-0.0,2.3857434,2.304841
-0.0,-0.0,-0.0,0.12878941,-0.0,2.1229982,1.7213345,3.068995,2.462372,-0.0,-0.0,1.4601206
-0.0,-0.0,-0.0,0.12012829,-0.0,2.1315367,1.7563267,3.0286596,2.4612439,-0.0,-0.0,1.4734255
