0,1,2,3,4,5,6,7,8,9,10,11
0.29327562,1.0005155,1.015538,2.3512826,1.8409655,2.4267387,1.290932,0.58800584,-0.0,2.936336,1.4185003,2.383579
1.3772647,0.3069977,2.0933912,0.08002311,0.12670815,2.0223281,0.29686746,-0.0,-0.0,3.064983,-0.0,1.5474956
0.4417815,1.3171515,3.2504826,0.27619743,1.7672257,0.34137475,2.4706857,0.7846292,-0.0,1.5142125,2.6707408,0.7254657
2.5193484,2.4412203,0.47677827,0.19603333,0.09211159,2.6282187,0.40739205,2.077164,-0.0,1.8723937,0.8570868,0.21422863
1.7609779,1.9018683,0.35503966,2.133368,3.3161783,2.9189985,2.5859735,1.615064,-0.0,-0.0,1.0991492,0.07994597
0.8862417,0.41919422,2.7867556,-0.0,1.3073201,0.12980777,2.0878105,1.0183817,-0.0,1.3167931,0.83828354,0.6532441
1.0503721,0.84089005,2.7872727,0.40795004,1.1093335,2.476116,1.2923608,0.54105186,-0.0,0.6828749,1.6248969,2.4597573
0.27679166,0.95636046,-0.0,1.8791816,1.6379818,2.9650304,2.7145445,1.4756371,-0.0,0.8429362,1.099028,1.7508256
3.1670444,0.70138806,2.3116965,1.732012,1.9281399,2.2360141,0.223821,0.83405966,-0.0,2.335923,1.8866339,1.3134549
-0.0,0.6421533,0.9621507,0.6982864,2.2000232,2.5456707,1.6134915,2.5427933,-0.0,0.9741769,3.1481733,0.57412994
2.4900117,2.506798,1.9730844,0.82841825,2.7799277,0.52043855,2.045669,1.1232764,-0.0,1.690797,0.6718494,0.6134298
0.69632167,0.9862776,0.8687384,2.4116106,0.3985185,0.45956862,1.9865496,0.33174625,-0.0,2.357904,0.95247114,2.8360193
0.9153348,1.6984665,0.14943418,1.8519622,-0.0,1.7468271,2.9399927,2.0304193,-0.0,1.7208161,2.8326828,1.4526379
1.7089002,2.0484424,2.1131206,1.0507021,1.6261445,2.3711863,1.8653225,1.4121493,-0.0,1.0522794,-0.0,2.839526
0.53296125,0.50195706,0.33681402,1.5281184,1.6482272,2.43128,1.6966783,1.9478769,-0.0,1.1192759,3.2301188,0.8899107
1.1377733,2.2142816,1.1761416,1.8114023,1.8300351,2.0166295,0.022263693,0.38154835,-0.0,0.06657382,2.4388702,2.381456
2.4819462,1.9882194,0.6988751,-0.0,2.5463462,3.22086,1.0771834,1.2732892,-0.0,0.33797905,0.37829092,-0.0
3.2232668,1.3646393,1.2690643,2.2132359,1.1174576,1.4472239,2.134666,1.1566961,-0.0,0.9511197,1.7008139,1.9712958
1.9022692,2.9144948,0.8506813,1.4734167,-0.0,1.859503,1.5658153,2.6088717,-0.0,1.958505,1.7280314,0.639887
0.26342863,0.54548997,0.8251511,1.7588567,0.95888203,2.1053898,1.032423,1.7040944,-0.0,1.3942847,3.2146635,1.2678657
2.0640943,1.9464407,0.13380432,2.0423803,0.16244525,1.5165422,1.4771905,2.3257174,-0.0,1.8577952,1.9972754,1.4842424
0.6236952,1.3997501,1.4800097,1.957489,2.8351083,2.74349,2.2133262,1.722148,-0.0,2.948182,2.4263709,1.8555341
0.57627106,2.2451317,0.8308085,2.1630936,2.6703486,1.7956812,2.8628542,0.94702196,-0.0,2.2739506,1.8844023,1.7811759
0.84437096,1.6331933,2.247767,0.5413822,1.6502992,1.3758082,0.31953675,0.9157319,-0.0,0.1385194,2.1290343,3.5029035
1.2301949,0.8424284,2.975124,0.33281022,1.5847294,0.8841555,2.265433,0.08782062,-0.0,1.7992239,1.9510512,0.0876908
2.0119522,2.271085,2.2002208,1.4983119,1.167913,2.2328715,0.5250625,2.3210666,-0.0,2.2631292,-0.0,0.025994435
0.6354027,1.9749651,1.9646275,1.5154208,2.0176756,2.3036273,0.5730677,-0.0,-0.0,0.6259147,2.645661,2.8304121
1.3289809,0.8257855,0.33716434,2.1690812,2.2063096,3.0025365,2.115633,1.4171641,-0.0,0.24878319,0.653325,0.055900805
2.8542707,2.1695905,1.6010448,1.8072473,1.3974323,0.230486,2.195798,1.5520344,-0.0,0.63471574,1.8125916,1.4062791
1.3052926,2.0831764,0.56188107,0.42624712,0.9222312,1.6333818,1.0490874,1.5932068,-0.0,3.5883415,0.6306026,1.5471649
2.856947,0.4118763,1.9397646,0.15944448,1.0167327,1.5830829,0.88971657,0.6113535,-0.0,1.2606666,1.4270096,2.1663017
1.4760491,0.57635003,0.9134016,0.88329995,2.2147849,-0.0,2.225705,0.7868561,-0.0,1.422875,-0.0,0.69703525
0.4278775,-0.0,0.51540715,1.7431079,2.6482244,0.7236713,1.6538649,0.83173525,-0.0,3.1705613,1.1628416,1.3009658
1.8049756,2.2177482,0.68942964,2.5220132,1.2430509,1.4572723,2.986386,1.2762573,-0.0,0.6716172,0.318408,1.1806054
1.1277784,0.557728,2.1799352,3.0363984,0.012794334,0.34902695,2.0520246,1.4703788,-0.0,1.1265761,-0.0,2.4164712
2.290946,2.8494809,2.5971384,2.0577059,1.8122141,2.9846778,1.6925566,1.982159,-0.0,0.6546934,1.009248,0.7790613
1.0311716,1.5963964,2.0009944,1.270826,2.2734506,1.4524813,1.9463762,2.072481,-0.0,1.7791339,0.30960247,2.7369506
1.277877,1.8869445,-0.0,1.2227988,2.4426608,3.309043,2.9039514,2.1430113,-0.0,0.5842781,1.0271314,1.154063
0.69307125,2.343808,-0.0,2.7200398,1.8495884,2.2113585,2.531903,1.1833671,-0.0,2.47871,1.7197015,1.0828202
-0.0,1.8699732,1.959703,-0.0,2.0578144,1.0129092,1.9732246,0.33328137,-0.0,0.85163474,1.0591668,0.29303735
1.2426487,1.8712285,0.52617276,1.0228231,0.61316115,1.785985,1.9967659,3.132044,-0.0,2.0606472,2.1824448,1.0390899
1.5758525,2.3006818,0.12561232,1.8221458,2.831696,0.36363888,2.4888468,0.78980243,-0.0,0.32518482,1.5357574,0.63547885
0.26701966,1.5149996,2.9838126,-0.0,1.7864071,1.0013626,1.9266394,0.37241876,-0.0,1.6231035,1.0560809,1.2349992
0.7556306,1.3458217,3.3211539,-0.0,0.9298502,-0.0,2.551632,0.8163676,-0.0,0.9049409,1.5586597,0.9240893
1.5568259,1.6570963,2.2018607,1.1847382,2.0343976,1.1734359,2.0111423,1.916145,-0.0,1.6548301,0.12752794,2.6012564
1.9748238,2.5682251,0.6045331,0.8765264,-0.0,1.6494646,1.2358782,2.0953755,-0.0,2.9890192,1.3451209,1.6142404
1.0036378,0.5889054,2.033861,3.3853912,0.7180444,-0.0,1.9458354,1.975459,-0.0,0.64588594,0.9042365,1.2179601
