0,1,2
0.58502066,0.1966654,1.1611168
0.59847116,0.17547476,1.1992049
0.43933213,0.23268569,0.92867804
0.4208957,0.28462005,0.843915
0.38252926,0.27906036,0.81682205
0.36683106,0.28574097,0.81135154
0.36976314,0.31741357,0.78254294
0.30639756,0.3112899,0.6731608
0.34440386,0.34439874,0.6352184
0.2713685,0.39179325,0.54284143
0.24996018,0.46703506,0.44389343
0.2716056,0.47360897,0.44198585
0.2020402,0.4204433,0.4132259
0.23143983,0.43658316,0.40545344
0.5839021,0.32563758,1.0317736
0.6642362,0.22432697,1.2556226
0.6653919,0.17855287,1.292762
0.6650264,0.09336996,1.2438171
0.5556408,0.13021028,1.207305
0.5972769,0.2294972,1.1609206
0.69439054,0.05381143,1.313278
0.6166465,0.064924955,1.3388336
0.6236385,0.10497725,1.293689
0.5631268,0.12352061,1.2409337
0.5503819,0.11564696,1.19733
0.51160157,0.1415205,1.0585198
0.46271873,0.18258977,0.9817426
0.58558166,0.86309695,0.66095805
0.34347737,0.41586864,0.6632085
0.17465055,0.4658569,0.42071462
0.20289505,0.80097914,0.39709568
0.26775467,1.3336251,0.14861703
0.76485693,-0.0,1.7722557
0.5796658,0.2106049,1.1100774
0.44380093,0.21237719,0.90791106
0.3613782,0.2442379,0.8074827
0.34101737,0.2455641,0.7856803
0.37807858,0.31853974,0.7740979
0.27555525,0.29831457,0.6013582
0.19402766,0.34347272,0.4830773
0.19095731,0.39080942,0.4364779
0.41820002,1.1483964,0.7316389
0.74854517,0.32754886,1.1080456
0.66368496,0.18131506,1.1656046
0.5909623,0.11058509,1.2032526
0.5432167,0.18606758,1.1406541
0.547729,0.18559515,1.1014078
0.63833,0.123474956,1.259691
0.5943799,0.08695543,1.2147217
0.55022335,0.14060748,1.1373029
0.45636463,0.18646252,0.9831619
0.46327925,0.19661391,0.9920342
0.42960358,0.2354188,0.9422233
0.446769,0.6399824,0.7935238
0.5005027,0.6354644,0.8209212
0.52486944,0.4905939,0.8909104
0.5010959,0.31262064,0.924144
0.21145189,0.49299002,0.50241995
0.18142521,0.524102,0.37445736
0.7866218,-0.0,1.5988214
0.59557176,0.2070837,1.1134541
0.5526426,0.20810556,1.1132936
