0,1,2,3,4,5,6,7,8,9
5.978346,2.806564,5.829512,2.7625005,3.5686834,6.0268464,2.5933242,2.5008745,15.486809,4.6283126
5.6318502,5.663755,8.687047,2.9893558,2.7836554,8.095727,2.8844917,2.5741687,13.177189,5.9792776
5.3298798,4.269094,6.9258723,2.4746552,3.2157876,3.8684638,8.352516,8.044323,14.028381,2.9275713
4.241087,8.604012,5.8634195,5.5236135,3.214477,3.8696446,4.5039344,3.0397809,15.34773,1.5222977
3.8849,5.746477,4.8216925,4.1042595,5.139425,1.4491765,4.9019856,0.76615995,17.31689,2.5320683
2.7806711,4.1411166,6.2651186,1.5924869,2.9562485,3.6128497,6.7886314,5.9758706,10.265886,2.9721985
5.712078,3.528872,5.78884,1.1929078,3.8736496,4.5517206,6.731901,4.2946887,12.408225,4.816323
5.068861,3.301021,2.3021135,3.2891665,3.9581916,3.4954057,3.7440217,1.6832664,15.24156,2.014017
6.170792,5.6105576,8.282368,3.5756884,4.0604467,4.148731,5.3054395,3.7716036,14.798271,6.684593
7.0592585,5.4098635,5.7613163,2.5024104,4.2426596,3.7007122,5.3470507,6.321209,16.181786,0.76348144
2.3482597,5.821789,8.358149,3.9560547,3.7442737,3.0407608,7.4379973,4.8360906,15.762405,4.0876946
4.5333495,1.9684119,4.691611,3.0782351,1.4170496,4.934769,3.682105,2.9725924,13.289337,5.429964
6.0809107,3.8654227,2.9062524,5.689026,1.5351173,3.6475606,5.1202774,5.330455,14.365925,1.2949632
3.5387113,4.487105,6.609296,2.5015726,3.6792746,4.7677402,6.7437053,2.853912,14.592383,4.524562
6.4591937,4.510298,5.0257263,3.1480122,3.8007758,3.085179,4.090419,4.6502304,14.981182,1.7601253
5.5939875,1.9682615,3.7508154,2.780698,3.7836945,1.5418645,5.94989,3.1503303,13.436092,4.545105
2.8653293,8.663347,6.9237757,4.077896,5.9977636,2.7564878,5.3036833,2.4253454,16.67342,1.6904179
3.9189315,5.1323853,6.6954536,3.8055964,2.4522283,2.1057928,6.4913955,3.1149511,15.723194,5.5162425
4.81444,6.667019,3.841163,5.7463927,1.213353,2.9593127,4.9277644,3.2835848,13.968818,1.665921
7.4375076,3.4133954,4.829792,3.1187265,3.0644546,3.6566634,3.7951086,5.5088177,14.127937,2.3439517
4.8339953,5.327127,3.9443746,4.8984785,1.6363366,2.4099236,3.2066429,2.3499043,13.244169,2.9854255
