0,1,2,3,4,5,6,7
4.608413,4.862115,8.067451,5.043891,6.213401,3.945663,6.134241,5.881846
6.201314,3.203903,6.1208944,4.968776,4.835246,5.3860745,9.213821,5.457461
5.1407595,5.0159674,5.7655005,6.2547307,4.234691,4.9403143,6.310964,5.774693
2.0159194,4.7973814,8.131977,6.3810763,5.098116,3.9155364,5.8884583,2.8551073
6.6919923,4.0115047,5.035532,4.9847326,8.977114,7.7038136,6.994754,6.3775535
4.5994844,4.8841944,8.118882,4.974197,6.1932025,3.980711,6.160913,5.856603
4.4577055,5.2937646,5.945153,6.5238733,7.1036897,4.4278226,5.157452,5.7813053
4.7850175,4.081718,7.2998276,3.4973104,4.6678567,5.6812377,9.731909,7.7313876
4.9096727,4.0034137,7.323621,3.4126925,4.636619,5.651512,9.554879,7.6594124
5.250364,5.132052,5.783108,6.4652686,4.0351553,4.816429,6.3575997,5.7852383
4.7203608,4.8349414,5.320004,6.9411407,5.4256244,4.1461425,4.5356536,3.0707822
6.1460953,3.1518817,6.146316,4.9683366,4.835349,5.4080267,9.18779,5.498013
3.3770256,5.85215,7.514318,6.692953,5.4827247,4.2443247,6.1948895,4.6292305
5.224841,5.0867767,5.8174086,6.3845325,4.0660267,4.858189,6.3196464,5.7556577
5.217158,5.1795306,5.953343,6.460898,4.104924,4.9431467,6.2751164,5.691491
7.457597,3.8467805,4.318971,4.646468,4.509919,5.256502,10.240171,1.6409931
4.467259,5.2719746,5.901826,6.519628,7.077475,4.5089626,5.175744,5.8494678
4.7456617,4.878842,5.239788,6.947804,5.500207,4.02679,4.4261703,2.9770105
6.387464,6.0957446,6.963299,6.6152616,5.5426364,5.2369123,6.305494,2.8596852
4.415444,5.2204647,5.9798923,6.589909,7.0104084,4.4783616,5.254543,5.886038
4.699097,3.8330586,7.196925,3.6232522,4.5966988,5.6982102,9.66365,7.715008
4.701978,2.7037594,7.024011,5.4553123,7.128139,5.797455,10.253192,2.8628833
6.6570277,4.058858,5.033744,5.0740724,9.015483,7.7159843,7.0782247,6.3222127
4.6037717,4.7581024,7.9517307,5.0435443,6.1738253,4.037169,6.190132,5.8691306
4.6392555,4.8427305,7.985485,4.999982,6.1854234,3.9814079,6.1167884,5.8657207
7.213838,3.895871,4.544901,4.5660157,4.7778625,5.2009716,10.349838,1.7882231
4.7602296,4.0227814,7.2712593,3.6086538,4.7354155,5.6509557,9.6273,7.7049313
4.6229196,4.0853477,7.256748,3.4019036,4.530252,5.7815847,9.688787,7.729093
6.356508,6.138934,6.970664,6.6281934,5.558625,5.26684,6.3017797,2.8424194
4.3403683,3.8856068,4.7544045,5.7184734,6.0870585,5.429952,7.3920736,5.229915
5.4077554,5.6844287,8.001432,7.458282,5.4837985,8.092032,6.3977613,2.6020355
7.8648887,3.1630466,3.2834253,4.8059654,6.5661325,5.552741,6.6452556,5.332659
7.8714466,3.1437645,3.2888906,4.7991486,6.5776834,5.5477486,6.654275,5.346788
5.270092,5.087406,5.841474,6.383559,4.066058,4.847655,6.3027716,5.7703323
6.3362875,6.13923,6.9694023,6.582559,5.574904,5.281602,6.291711,2.8089325
5.2686176,5.0732737,5.831518,6.374507,4.1522555,4.8635926,6.332875,5.7742233
7.7367926,3.6676705,6.9618044,4.9088187,6.2826624,5.2861247,4.5861793,3.0817235
5.2024083,5.058549,5.83552,6.345088,4.071734,4.878027,6.3289905,5.774777
4.3756175,3.8550324,4.723261,5.6799693,6.1060233,5.3462753,7.25748,5.1990604
